Name	RawCount	Condition	Log10 Count
hsa-miR-345-5p	78.48308386	Young	1.89477606
hsa-miR-6505-5p	77.03398648	Young	1.886682373
hsa-miR-181b-5p	76.47319853	Young	1.883509255
hsa-miR-378d	74.58552134	Young	1.87265453
hsa-miR-382-5p	71.93919592	Young	1.856965579
hsa-miR-143-5p	71.77476155	Young	1.855971758
hsa-miR-222-3p	69.1584817	Young	1.83984545
hsa-miR-493-3p	67.58108	Young	1.829825128
hsa-miR-502-3p	64.8315652	Young	1.811786507
hsa-miR-28-5p	61.40441842	Young	1.788199622
hsa-miR-744-5p	58.05870296	Young	1.763867329
hsa-miR-106b-3p	57.1842425	Young	1.757276373
hsa-miR-1303	57.02606234	Young	1.756073385
hsa-miR-151a-5p	55.89210466	Young	1.747350464
hsa-miR-501-3p	55.64770956	Young	1.745447294
hsa-miR-139-3p	53.02931682	Young	1.724516032
hsa-miR-628-5p	52.50912922	Young	1.720234816
hsa-miR-193b-3p	50.71932799	Young	1.705173491
hsa-miR-193a-5p	50.70285336	Young	1.7050324
hsa-miR-30b-3p	46.84211647	Young	1.67063651
hsa-miR-96-5p	44.18760559	Young	1.645300469
hsa-miR-24-1-5p	43.79409759	Young	1.641415582
hsa-miR-671-3p	43.15996756	Young	1.63508111
hsa-miR-16-2-3p	42.52849187	Young	1.628679982
hsa-miR-27a-5p	42.51996825	Young	1.628592932
hsa-miR-365a-5p	42.0727283	Young	1.624000676
hsa-miR-1307-3p	41.06529984	Young	1.613474998
hsa-miR-125b-1-3p	37.83833148	Young	1.577931978
hsa-miR-29b-3p	37.37506945	Young	1.572582008
hsa-miR-208b-3p	37.23342801	Young	1.570933023
hsa-miR-362-5p	36.12673294	Young	1.557828689
hsa-miR-23b-5p	35.32102211	Young	1.548033263
hsa-miR-132-5p	34.76797223	Young	1.541179362
hsa-miR-652-3p	34.32011702	Young	1.53554876
hsa-miR-20b-5p	34.17402728	Young	1.533696162
hsa-miR-193b-5p	33.74200325	Young	1.528170863
hsa-miR-15b-5p	32.04033649	Young	1.505697068
hsa-miR-664a-3p	30.15493489	Young	1.479358395
hsa-miR-214-5p	29.76144725	Young	1.473654046
hsa-miR-1180-3p	28.94707939	Young	1.461604752
hsa-miR-1296-5p	27.04447216	Young	1.43207851
hsa-miR-6505-3p	26.39520163	Young	1.421524984
hsa-miR-769-5p	26.07494708	Young	1.416223436
hsa-miR-500a-3p	25.10865826	Young	1.399823506
hsa-miR-10b-3p	24.86409019	Young	1.395572572
hsa-miR-495-3p	24.58243401	Young	1.390624882
hsa-miR-455-5p	23.31816965	Young	1.367694458
hsa-miR-155-5p	22.53027096	Young	1.352766415
hsa-miR-1301-3p	22.33205312	Young	1.348928652
hsa-miR-142-5p	21.78803403	Young	1.338218045
hsa-miR-130b-5p	21.67762349	Young	1.336011669
hsa-miR-99b-3p	21.23224467	Young	1.32699591
hsa-miR-944	20.92596248	Young	1.320685442
hsa-miR-2110	20.70271955	Young	1.316027399
hsa-miR-369-3p	20.64656537	Young	1.314847815
hsa-miR-132-3p	20.45685188	Young	1.310838801
hsa-miR-92b-3p	20.25722374	Young	1.306579925
hsa-miR-629-5p	20.20286215	Young	1.3054129
hsa-miR-4662a-5p	19.65407293	Young	1.293452563
hsa-miR-190b-5p	19.60283404	Young	1.292318863
hsa-let-7a-3p	19.37356247	Young	1.287209487
hsa-miR-29c-3p	17.40459536	Young	1.240663931
hsa-miR-1323	17.20621862	Young	1.235685437
hsa-miR-454-3p	16.5719775	Young	1.219374335
hsa-miR-654-5p	14.81804268	Young	1.170790841
hsa-miR-181d-5p	14.4778726	Young	1.160704751
hsa-miR-421	14.18151402	Young	1.151722599
hsa-miR-660-5p	14.11335125	Young	1.14963015
hsa-miR-107	13.92541681	Young	1.143808203
hsa-miR-651-5p	13.48207661	Young	1.129756791
hsa-miR-424-3p	13.41009104	Young	1.127431726
hsa-miR-149-5p	13.08018762	Young	1.116613974
hsa-miR-532-3p	12.79689554	Young	1.107104625
hsa-miR-889-3p	12.20635561	Young	1.086586018
hsa-miR-450b-5p	12.18954116	Young	1.085987358
hsa-miR-574-5p	12.03349791	Young	1.080391887
hsa-miR-378i	11.89132857	Young	1.075230379
hsa-miR-30d-5p	11.27196606	Young	1.051999672
hsa-miR-590-3p	11.01247748	Young	1.041885033
hsa-miR-339-5p	10.8374339	Young	1.034926462
hsa-miR-708-5p	10.78174142	Young	1.032688912
hsa-miR-452-5p	10.67852718	Young	1.028511358
hsa-miR-148a-5p	10.40356426	Young	1.017182154
hsa-miR-374b-3p	10.20712503	Young	1.008903434
hsa-miR-1306-5p	9.838930565	Young	0.992947896
hsa-miR-212-5p	9.690242065	Young	0.986334626
hsa-miR-382-3p	9.653310189	Young	0.984676262
hsa-miR-29c-5p	9.576000073	Young	0.981184141
hsa-miR-3173-5p	9.426458237	Young	0.974348548
hsa-miR-505-5p	9.293521392	Young	0.968180303
hsa-miR-378g	9.292553975	Young	0.968135092
hsa-miR-214-3p	9.177861147	Young	0.962741483
hsa-miR-659-5p	9.120657711	Young	0.960026157
hsa-miR-122b-5p	8.996654879	Young	0.954081061
hsa-miR-7-1-3p	8.84982949	Young	0.946934903
hsa-miR-30a-5p	8.681531377	Young	0.938596339
hsa-miR-106a-5p	8.566158741	Young	0.932786118
hsa-miR-210-3p	8.559118672	Young	0.932429048
hsa-miR-487a-5p	8.440275504	Young	0.926356623
hsa-miR-625-3p	8.360418714	Young	0.922228029
